CPU Time(ms),Input Length,LCS Length
0,1,0
0,2,1
0,3,1
0,4,2
0,5,0
0,6,1
1,7,1
0,8,6
0,9,2
0,10,8
0,11,8
0,12,10
0,13,3
0,14,3
0,15,11
0,16,12
0,17,12
0,18,13
0,19,15
1,20,15
0,21,7
0,22,17
0,23,7
0,24,18
0,25,8
1,26,21
0,27,6
0,28,8
0,29,20
0,30,8
0,31,7
0,32,10
0,33,10
0,34,13
0,35,9
0,36,7
1,37,10
0,38,14
0,39,10
0,40,11
0,41,31
1,42,14
0,43,13
0,44,35
1,45,34
0,46,35
0,47,13
0,48,36
1,49,13
0,50,36
0,51,14
1,52,12
0,53,13
0,54,15
1,55,42
0,56,17
0,57,43
1,58,18
0,59,16
0,60,18
1,61,48
0,62,49
0,63,48
0,64,19
1,65,51
0,66,21
0,67,53
0,68,20
1,69,51
0,70,52
0,71,57
0,72,23
1,73,18
0,74,24
0,75,59
1,76,20
0,77,21
0,78,21
1,79,58
0,80,63
0,81,23
1,82,64
0,83,25
0,84,28
1,85,69
0,86,23
1,87,23
0,88,24
0,89,25
1,90,72
0,91,70
1,92,67
0,93,75
1,94,28
0,95,73
0,96,72
1,97,71
0,98,30
0,99,30
0,100,31
1,101,77
0,102,32
1,103,32
0,104,30
1,105,33
0,106,31
1,107,32
0,108,86
0,109,81
1,110,34
1,111,29
0,112,37
1,113,35
1,114,92
0,115,33
1,116,91
1,117,34
1,118,94
0,119,93
0,120,96
1,121,38
1,122,38
1,123,43
1,124,97
0,125,36
1,126,40
1,127,101
1,128,104
1,129,40
1,130,103
0,131,38
1,132,39
1,133,42
1,134,106
1,135,108
1,136,107
1,137,41
0,138,106
1,139,39
1,140,42
0,141,115
1,142,114
1,143,45
1,144,42
1,145,44
1,146,45
1,147,117
2,148,119
1,149,120
1,150,44
1,151,121
1,152,120
1,153,124
1,154,45
2,155,125
1,156,122
1,157,121
1,158,128
2,159,52
1,160,129
1,161,48
1,162,51
1,163,129
2,164,131
1,165,49
1,166,132
2,167,48
1,168,136
1,169,52
1,170,133
2,171,50
1,172,135
1,173,53
1,174,137
2,175,135
1,176,53
1,177,57
2,178,136
1,179,52
1,180,53
2,181,144
1,182,53
1,183,148
2,184,55
1,185,54
2,186,54
1,187,57
2,188,55
1,189,142
1,190,140
2,191,55
1,192,152
1,193,153
2,194,61
1,195,60
2,196,62
1,197,153
2,198,159
2,199,60
1,200,160
2,201,161
2,202,61
1,203,62
2,204,161
2,205,64
2,206,161
1,207,62
2,208,64
2,209,65
2,210,167
2,211,67
2,212,168
2,213,68
2,214,69
2,215,171
1,216,170
2,217,68
2,218,77
2,219,72
2,220,174
2,221,177
2,222,68
2,223,67
2,224,180
2,225,66
2,226,66
2,227,68
2,228,177
2,229,69
2,230,181
2,231,69
2,232,178
3,233,180
2,234,71
2,235,185
2,236,74
3,237,73
2,238,69
2,239,72
3,240,81
2,241,190
2,242,196
3,243,75
2,244,74
3,245,76
2,246,76
3,247,74
2,248,76
3,249,202
2,250,78
3,251,204
2,252,81
3,253,201
2,254,199
3,255,201
3,256,204
3,257,213
2,258,206
3,259,80
3,260,81
3,261,81
2,262,208
2,263,208
3,264,205
3,265,214
3,266,81
3,267,81
3,268,84
3,269,211
2,270,85
3,271,81
3,272,214
3,273,217
4,274,218
3,275,84
3,276,84
3,277,80
3,278,87
3,279,90
4,280,225
3,281,85
3,282,222
3,283,85
3,284,86
3,285,89
3,286,229
4,287,228
3,288,231
3,289,226
4,290,228
3,291,94
4,292,229
3,293,96
4,294,234
